FOD1P,ESR,WAGP,WKHP,OCCP,NAICSP
2100,1,500,80,4920,531
5506,1,46000,40,420,813M
5500,1,47000,50,2840,5411
6200,1,50000,40,2100,517Z
6200,1,75000,45,2720,611M1
2300,1,5000,24,2310,6111
5301,1,36000,65,4820,522M
3301,6,0, ,,
2100,6,0, ,,
6108,1,150000,40,4700,44611
5003,6,2000,4,136,44611
5003,3,0, ,9920,9920
6001,6,0, ,,
5301,1,77000,11,2320,6111
3700,1,33300,40,230,6111
2399,1,80000,40,230,611M1
5404,1,18000,40,5820,6216
6203,6,0, ,,
6207,1,58000,60,5240,8139Z
3700,1,455000,40,10,5415
2408,1,93000,40,1020,443142
2407,1,130000,40,1010,5191ZM
2407,6,5000,4,2310,6111
2406,6,0, ,1360,5413
5098,6,50000,24,3050,44611
6004,1,24000,40,2630,3152
5601,1,0,45,6230,23
3699,1,58000,40,565,923
6203,1,53000,40,2010,622
2408,3,75000,40,300,5415
3401,6,2000,25,5160,52M1
5501,1,24000,40,5120,5415
1102,1,200000,45,430,5412
6203,1,40000,40,630,4243
5501,6,0, ,6355,23
5507,1,61000,40,310,722Z
5404,1,50000,45,430,711
1401,1,15000,40,2310,6111
1901,1,2200,18,4150,722Z
6203,1,95000,40,1060,5614
2901,1,82000,50,2310,6111
5500,1,74000,45,2310,6111
3609,1,68000,40,1740,92M1
1901,1,455000,84,2720,711
5299,6,0, ,4900,4481
3301,6,0, ,,
6207,1,200000,55,10,4244
2300,6,4000,40,9620,53223
5507,1,56000,40,20,4511M
6107,1,0,8,3060,6211
6002,6,0, ,,
2901,6,0, ,,
5502,6,0, ,1220,32411
5506,1,28700,50,2550,712
3700,1,12400,32,5620,45211
1903,3,0, ,5940,611M1
1903,1,13000,35,710,531
6200,3,0, ,530,4234
6402,1,200000,60,4965,5412
4901,1,12000,15,2000,6241
6200,1,160000,50,1006,5416
6200,6,0, ,430,3345
2408,6,150000,50,710,5416
3600,6,0, ,,
6203,2,62000,40,2630,5414
2102,1,145000,40,710,5412
3602,6,0, ,50,5415
6000,2,0,25,2600,711
1103,2,120000,60,2200,611M1
6001,1,90000,50,2830,5121
6000,3,5000,3,2830,5121
6402,6,0, ,,
3600,1,28000,60,430,5415
6107,1,32500,60,5160,5613
2399,6,0, ,,
5507,1,0,70,310,722Z
4101,3,2500,25,4720,4451
2408,1,92000,40,430,485M
5200,1,2000,8,3255,923
2405,1,0,40,4710,4236
3301,1,45500,65,2100,5411
5200,1,32600,50,1240,611M1
6203,6,0, ,910,522M
2303,1,19000,40,3630,8121M
2408,6,0, ,,
3402,6,0, ,,
6299,1,30000,40,2000,6241
1901,1,70000,47,220,23
6209,1,52000,40,136,3261
6204,1,125000,40,430,33641M1
6402,6,0, ,,
3600,1,0,8,2310,6111
2405,1,0,20,1910,5417
1903,1,10800,43,4760,454111
6200,6,0, ,,
3202,3,0, ,2100,611M1
3301,3,92000,55,2100,5411
3301,1,104000,45,430,5412
6206,1,95000,42,710,5121
2314,1,23000,20,2310,6111
5503,6,0, ,5810,621M
5098,1,80000,58,710,5416
6201,1,27000,40,4950,446Z
1901,1,30000,45,430,5121
2309,1,47000,50,2310,6111
2414,1,20000,40,1460,336M
2412,1,54000,45,1006,5416
2305,6,0, ,2200,611M1
5001,1,80000,40,2310,6111
5507,1,85000,42,120,9211MP
4801,1,110000,60,2200,611M1
3600,1,2000,13,4760,4481
6200,6,0, ,,
2300,6,0, ,10,6111
2300,1,95000,40,10,531
1401,6,0, ,1300,5413
3600,1,0,35,40,5418
6107,3,0, ,9920,9920
6200,1,200000,55,10,531
5501,1,8600,12,5310,92M2
5502,1,98000,60,2550,611M1
6107,1,9600,36,3255,622
6200,6,0, ,9620,4451
6203,6,0, ,,
6004,1,48000,40,2630,334M2
6200,6,0, ,,
6203,6,0, ,,
3301,6,0, ,,
2408,6,0, ,,
3600,1,455000,40,1650,3254
5003,1,147000,40,2710,5171
5506,6,0, ,,
5501,1,455000,60,120,52M2
5004,1,135000,40,1740,92M1
4001,1,109000,50,2050,8131
6000,1,78000,40,2310,6111
6001,3,0, ,4610,6241
1401,1,19200,40,7510,4542
5402,1,18000,35,5400,5416
5501,1,0,53,430,5412
6212,6,0, ,,
5501,1,40000,40,2825,712
6299,3,45800,40,2000,611M1
6206,1,16000,25,4030,722Z
5301,1,30000,30,5700,611M1
2401,1,910,15,4030,6111
6107,1,99000,52,3255,622
2400,1,80000,40,3255,622
2102,1,123000,40,50,5415
6203,1,35000,42,4700,4529
6107,6,0, ,,
1903,1,0,30,2920,5121
2001,6,0, ,,
6002,6,16000,30,2330,6111
6200,4,80000,50,700,928110P1
3401,1,60000,40,1760,928P
5502,1,52000,40,5320,611M1
3301,1,14800,25,2700,711
5200,1,150000,40,1820,6213ZM
5200,1,6000,30,800,336M
5200,1,6000,30,800,336M
2901,3,0, ,9920,9920
2602,1,60000,40,2320,6111
2313,1,10000,25,2040,8131
2408,1,150000,50,1020,5171
2408,1,455000,50,3060,6211
1901,1,25000,20,725,611M1
2408,6,0, ,,
3401,6,0, ,,
1901,1,11400,25,4760,45211
6402,1,230000,60,2100,5411
3600,1,52000,40,3060,622
1105,1,0,60,205,111
1501,1,0,60,205,111
2408,1,80000,40,1410,334M2
2100,6,0, ,,
6205,1,36400,40,5820,92M2
2400,1,125000,60,50,5415
5003,1,180000,60,136,33641M2
